text;question;options;ans;label;category
Penanganan sampah yang komprehensif, baik di daratan maupun di laut, berkaitan erat dengan kualitas sumber daya manusia (SDM). SDM menjadi kunci utama dari penanganan sampah yang saat ini sedang dilakukan Indonesia. Tanpa SDM mumpuni, penanganan sampah diyakini tidak akan berjalan dan bahkan bisa lebih buruk. ;Tanggapan logis terhadap isi paragraf adalah �;"A. perlu pembukaan TPS baru untuk menampung sampah.
B. perlu penyiapan SDM berkualitas untuk mengelola sampah.
C. perlu kerja sama dari berbagai pihak untuk membersihkan sampah.
D. perlu penanganan sampah karena volumenya semakin meningkat.
E. perlu sekolah khusus untuk menangani masalah sampah di Indonesia.";B;C2;MOTS
Kehadiran redaksional akan percuma jika hanya untuk mengoreksi pemakaian tanda baca huruf besar, huruf miring, atau membuan kata-kata mubazir.;Istilah yang tepat untuk mengganti kata tercetak miring pada kutipan tersebut adalah�.;"A. redaktur
B. redaktor
C. koreksi
D. korektor
E. Redaksi";E;C3;MOTS
(1) Beberapa ilmuwan menemukan sebuah virus misterius baru dengan gen yang belum pernah terlihat sebelumnya.  (2) Temuan tersebut dilaporkan dalam sebuah penelitian yang dilakukan di Brasil. (3) Para ilmuwan dibantu dengan peneliti dari Aix Marseille University, Prancis dan Federal University of Minas Gerais, Brasil menyatakan bahwa 90 persen gen dalam virus ini tidak pernah diidentifikasi dalam virus lainnya. (4) Dikutip dari Science Alert, penamaan virus tersebut juga dikarenakan dia memiliki garis keturunan baru dari virus ameba dengan asal dan filogeni yang membingungkan. (5) Virus tersebut ditemukan di laguna buatan Lake Pampulha di kota Belo Horizonte;Kalimat yang menggunakan ejaan dengan benar terdapat pada kalimat nomor �.;"A. (1), (2), dan (3)
B. (1), (3), dan (4)
C. (1), (4), dan (5)
D. (2), (3), dan (4)
E. (2), (4), dan (5)";C;C3;MOTS
"""Semua ini karena kau terlambat bangun pagi,"" kata Wina. la mendesah panjang dan mengundurkan perlahan-lahan punggungnya pada bantalan kursi. 

""Siapa yang tahu kalau akan hujan?"" kataku membela diri. Aku dapat mencium bau napasku yang tak sedap. Selepas bangun pagi, aku hanya mencuci muka, berganti baju, membawa tas dan ransel yang sudah penuh dengan barang-barang ke kios. Semua kulakukan terburu-buru karena takut terlambat. Tetapi, pagi itu, jam sepuluh, Wina sudah membuka kios dan menggeser kursi yang biasa ia duduki saat menunggu pelanggan ke depan pintu geser. 

""Bukan masalah hujannya, Nak,"" katanya, ""kita mungkin bisa sampai ke terminal lebih cepat dan tidak harus menunggu hujan reda."" 

Aku melihat ke luar. Hujan semakin lebat. Rinai hujan itu seperti membentuk selimut tebal yang sukar ditembus. Aku tidak dapat melihat tokoh di seberang kios kami. Barangkali, hujan ini akan berlangsung terus sampai sore. 

""Maafkan, Nyonya .... "" 

""Jangan panggil aku Nyonya!"" bentaknya. la menoleh padaku. Aku tidak melihat siratan kemarahan dalam sorot matanya yang tajam. Aku memperhatikan matanya yang sembab dan merah. la terlihat seperti orang yang habis menangis atau kurang tidur.";Kalimat esai yang sesuai kutipan cerpen tersebut adalah ... ;"A. Pengarang cerpen ""Petang di Taman"" ingin menghadirkan cerita yang biasa dialami orang. Cerita tersebut didukung oleh penggambaran latar dan konflik yang dapat ditemui dalam kehidupan sehari-hari.

B. Pengarang cerpen ""Petang di Taman"" memiliki kekuatan menulis cerita kehidupan seseorang. Terna cerita diangkat berdasarkan peristiwa yang sering terjadi dalam kehidupan sehari-hari meskipun terdapat unsur fantasi. 

C. Pengarang cerpen ""Petang di Taman"" menyuguhkan cerita ringan yang dapat dialami dalam kehidupan sehari-hari. Dengan demikian, pembaca harus meluangkan banyak waktu untuk memahami maksud cerita tersebut. 

D. Pengarang cerpen ""Petang di Taman"" menampilkan sifat tokoh cerita yang dimiliki pada zaman sekarang. Penggambaran peristiwa cerita tersebut sesuai dengan peristiwa yang dialami orang pada zaman sekarang. 

E. Pengarang cerpen ""Petang di Taman"" menghadirkan cerita yang kompleks. Peristiwa dalam cerita berkisah masalah-masalah hidup yang rumit dan tidak dapat ditemui dalam kehidupan sehari-hari.";A;C3;MOTS
Pupuk anorganik merupakan golongan agrokimia. Bahan-bahan agrokimia memang diperlukan untuk meningkatkan dan mempertahankan produksi pangan. [...], bahan-bahan tersebut berisiko terhadap kesehatan. [....], intensifikasi produksi pangan tidak dapat dilakukan hanya dengan mengandalkan pupuk anorganik dan pestisida kimia tanpa batas. Telah berdampak bagi kehidupan dan lingkungan [...]  perlu diperlukan pembatasan.;Konjungsi yang tepat untuk melengkapi paragraf tersebut adalah �.;"A. Dengan demikian, Namun, tetapi
B. Bahkan, Tetapi, karena
C. Oleh karena itu, Akan tetapi, meskipun
D. Namun, Oleh karena itu, sehingga
E. Tetapi, Bahkan, meskipun ";D;C3;MOTS
Masih ada matahari. [...] Hijau yang lebih pekat menyembul di arah belakang padang rumput. Pohon-pohon menghutan rimbun. Hanya tajuk-tajuk daun-daunnya saja yang tertimpa sinar matahari. Di bawahnya, temaram yang teduh. ;Kalimat yang tepat untuk melengkapi kutipan cerpen tersebut adalah �;"A. Berkas-berkas sinarnya membuat kilau menghijau pada padang rumput yang menghampar di sisi marina itu. 

B. Berkas-berkas sinarnya membuat kilauan indah pada padang rumput yang menghampar di sisi marina itu. 

C. Berkas-berkas sinarnya yang cerah masih terlihat indah di cakrawala saat senja datang menyapa di atas marina itu. 

D. Berkas-berkas sinar matahari masih hangat menemani kesendirianku yang setia menunggumu di marina itu. 

E. Berkas-berkas sinar matahari masih hangat menemaniku untuk selalu datang menemuimu di ujung marina itu.";A;C3;MOTS
"Perhatikan susunan kalimat berikut ini!

Saat ini nelayan yang akan melaut diwajibkan melengkapi diri dengan peralatan keselamatan. 
Nelayan harus waspada terhadap cuaca buruk yang sering terjadi akhir-akhir ini. 
Peralatan yang disiapkan, seperti life jacket atau jaket pelampung, kompas, dan barang-barang lain guna menjaga dari peristiwa yang tidak diinginkan. 
Kewaspadaan ini ditingkatkan setelah sebanyak 33 perahu milik nelayan Pantai Ujunggenteng rusak dihantam angin kencang dan gelombang pasang air laut. 
Nelayan di wilayah pesisir pantai selatan Kabupaten Sukabumi diimbau meningkatkan kewaspadaan saat mencari ikan. ";Urutan yang tepat kalimat-kalimat tersebut agar menjadi paragraf padu adalah �.;"A. (5)-(1)-(4)-(2)-(3)
B. (5)-(2)-(4)-(1)-(3)
C. (5)-(3)-(1)-(2)-(4)
D. (5)-(4)-(1)-(2)-(3)
E. (5)-(4)-(3)-(1)-(2)";B;C3;MOTS
"Daya saing koperasi menjadi salah satu isu panting jika dikaitkan dengan pemberlakuan MEA dan persaingan ekonomi pada era sekarang. Koperasi harus mampu menyamakan kedudukannya dengan berbagai bisnis baik offline atau online. Artinya, semua kemampuan daya saing koperasi harus ditingkatkan agar bisa bersaing dengan bisnis lain. 

Salah satu fakta yang mendukung pentingnya daya saing koperasi adalah jumlah keanggotaan yang cenderung semakin meningkat. Fakta ini menunjukkan bahwa koperasi masih dipercaya sebagai bagian dari basis keuangan masyarakat. Oleh karena itu, Pemerintah dapat memberikan peluang seluas-luasnya bagi pertumbuhan koperasi melalui berbagai unit usaha dan pengembangannya di daerah. ";Simpulan teks editorial tersebut adalah �;"A. Masyarakat kota dan desa masih memerlukan kehadiran koperasi sebagai penyedia kebutuhan sehari-hari mereka.

B. Koperasi mampu bersaing dengan berbagai bisnis baik online maupun offline yang sedang digemari masyarakat saat ini.

C. Perkembangan dan daya saing koperasi tergantung pada keadaan organisasinya dan tidak dapat lepas dari lingkungannya.

D.  Keberadaan koperasi menjadi suatu fenomena tersendiri karena belum ada lembaga sejenis yang mampu menyamainya.

E.  Pemerintah dapat memberikan kesempatan kepada koperasi agarmampu bersaing dengan bisnis lain yang sedang berkembang di masyarakat.";E;C4;HOTS
(1) Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) memantau dan menganalisa curah hujan. (2) Hasil pantauan menunjukkan sebagian wilayah Jawa telah diguyur hujan selama beberapa pekan terakhir. (3) Adanya sirkulasi angin tertutup di Laut Jawa yang cukup persisten hingga 3 hari ke depan juga mengakibatkan terbentuknya daerah pertemuan angin di sepanjang Jawa, Bali, hingga Nusa Tenggara Timur. (4) Kondisi cuaca tersebut memberikan dampak pada peningkatan pembentukan dan pertumbuhan awan hujan di wilayah tersebut. (5) Kondisi tersebut akan menimbulkan dampak bencana hidrometeorologi, seperti genangan, banjir, dan longsor. ;Kesalahan penggunaan kata serapan dalam paragraf tersebut ditunjukkan oleh kalimat bernomor ....;"A. (1)
B. (2)
C. (3)
D. (4)
E. (5)";A;C4;HOTS
"Perhatikan judul-judul karangan berikut ini!

Upaya Meningkatkan Kesadaran Kesehatan dari Desa ke Desa 
Meningkatkan Kemampuan Pelajar dalam Kegiatan Belajar 
Usaha Mengurangi Pencemaran Lingkungan di Sekolah 
Pelatihan Pembuatan Otak-otak untuk Pelajar Tingkat Menengah
Kepala Sekolah telah Mengesahkan Tata Tertib Sekolah";Penulisan judul karangan yang salah beserta alasannya terdapat pada �.;"A. Judul (1), kata dari seharusnya diawali dengan huruf kapital karena merupakan kata tugas. 

B. Judul (2), kata dalam seharusnya diawali dengan huruf kapital karena merupakan kata depan. 

C. Judul (3), kata di seharusnya diawali dengan huruf kapital karena merupakan kata depan.

D. Judul (4), kata Otak-otak seharusnya ditulis Otak-Otak karena merupakan kata pengulangan kata dasar (kata ulang utuh) harus diawali huruf kapital. 

E. Judul (5), kata telah seharusnya diawali dengan huruf kapital karena merupakan kata keterangan.   ";D;C6;HOTS
;Teks yang berisi gambaran sesuatu secara umum dan sesuai fakta yang ada tanpa ada opini atau pendapat penulis disebut �;"A. Teks deskripsi
B. Teks prosedur
C. Teks laporan hasil observasi
D. Teks penelitian
E. Teks eksplanasi";C;C1;LOTS
;Laporan hasil observasi memiliki sifat, yaitu �;"A. Objektif dan komunikatif
B. Objektif dan infortmatif
C. Subjektif dan informatif
D. Subjektif, informatif, dan komunikatif
E. Objektif, informatif, dan komunikatif";E;C1;LOTS
(1) Kantong semar adalah tumbuhan pemakan serangga. (2) Tumbuhan ini hidup dengan memakan serangga-serangga kecil, seperti lalat, semut, dan lebah atau kumbang. (3) Untuk memangsa serangga, tumbuhan ini akan membuka kantung mulutnya lebar-lebar. (4) Kemudian, ketika ada serangga yang masuk ke dalamnya, tumbuhan ini akan langsung menutup kelopaknya yang menyerupai mulut. (5) Saat ini, tumbuhan kantong semar mulai dikonservasikan di berbagai daerah di Indonesia. (6) Dengan begitu, diharapkan tumbuhan ini akan tetap terjaga kelestariannya.;Kalimat definisi pada kutipan teks di atas terdapat pada kalimat nomor �;"A. (1)
B. (2)
C. (3)
D. (4)
E. (5)";A;C3;MOTS
"Perhatikan kalimat berikut ini!
Semua dapat hidup karena perawatannya yang dipantau secara berkala untuk melihat perkembangannya.";Konjungsi sebab pada kalimat di atas terdapat pada kata �;"A. dapat
B. karena
C. yang
D. secara
E. untuk";B;C2;MOTS
"(1) Narkoba merupakan bahan berbahaya yang jika disalahgunakan akan mengakibatkan ketergantungan pada pemakainya dan pada akhirnya akan membawa pada kematian jika dikonsumsi secara terus menerus. (2) Latar belakang pengguna narkoba saat ini sangat banyak, mulai untuk menghilangkan masalah hingga demi pergaulan. (3) Saat ini, target para pengedar adalah kalangan remaja antara 15 - 25 tahun yang masih sangat mudah untuk ikut-ikutan karena kejiwaannya masih labil dan masih mudah terpengaruh teman-teman pergaulannya.

(4) Kita semua tahu bahwa anak-anak remaja pada usia tersebut adalah bunga bangsa yang baru merekah yang sangat dinanti-nantikan untuk meneruskan bangsa Indonesia kelak untuk menjadi negara yang lebih sejahtera lagi. (5) Saat ini, terdapat 4 juta orang di Indonesia yang menggunakan atau menyalahgunakan narkoba dan dari jumlah tersebut, sebanyak 22 persen adalah remaja dalam rentang usia tersebut. (6) Survei BNN tahun lalu menyatakan bahwa, perkembangan pengguna dan pengedar gelap narkoba pada pelajar dan mahasiswa. (7) Berdasarkan hasil penelitian pada 17 provinsi di Indonesia, sebanyak 2,6 persen siswa SLTP dan 4,7 persen pelajar SMA tercatat pernah menggunakan barang haram itu. (8) Sementara itu, di perguruan tinggi terdapat 7,7 persen mahasiswa yang pernah menggunakan narkoba. (9) Mulai tahun lalu, pemerintah bersama instansi-instansi terkait bertekad menekan angka penggunaan narkoba pada pelajar hingga ke angka 0 persen.";Salah satu fungsi laporan hasil observasi yang ditunjukkan pada teks di atas adalah �;"A. Membantu pemerintah menyelesaikan masalah pengedaran narkoba di Indonesia.
B. Mengimbau masyarakat agar tidak terjerumus ke dalam narkoba.
C. Mendukung pemerintah yang sedang berupaya memberantas narkoba.
D. Menunjukkan data dan fakta mengenai pengguna narkoba di Indonesia.
E. Memberikan masukan kepada pemerintah mengenai kebijakan yang bisa diambil untuk memberantas narkoba.";D;C4;HOTS
;Tujuan ditulisnya teks eksposisi adalah �;"A. Memaparkan berita untuk memberi tahu pembaca mengenai suatu peristiwa.
B. Menceritakan pengetahuan baru yang mungkin belum diketahui oleh pembaca.
C. Menjelaskan informasi tertentu untuk menambah wawasan pembaca.
D. Mengisahkan informasi tertentu dengan tujuan menghibur pembaca.
E. Mendeskripsikan informasi atau pengetahuan tertentu yang dapat menarik perhatian pembaca.";C;C1;LOTS
"Perhatikan hal-hal berikut!
Tesis
Pembuka
Argumentasi
Deskripsi bagian
Rekomendasi
Simpulan";Struktur teks eksposisi yang tepat terdapat pada nomor �;"A. (1), (2), dan (5)
B. (1), (3), dan (5)
C. (2), (3) dan (4)
D. (2), (3), dan (5)
E. (2), (4), dan (6)";B;C1;LOTS
(1) Kondisi hutan Indonesia benar-benar sudah memprihatinkan. (2) Dalam kurun waktu lima puluh tahun, hutan alam Indonesia mengalami penurunan luas sebesar 64 juta hektare. (3) Pembukaan hutan alam di dataran rendah di Sulawesi telah memusnahkan keanekaragaman hayati. (4) Berjuta-juta spesies flora dan fauna musnah sudah. (5) Pembukaan lahan dengan cara membakar hutan telah menambah masalah kerusakan hutan.;(1) Kondisi hutan Indonesia benar-benar sudah memprihatinkan. (2) Dalam kurun waktu lima puluh tahun, hutan alam Indonesia mengalami penurunan luas sebesar 64 juta hektare. (3) Pembukaan hutan alam di dataran rendah di Sulawesi telah memusnahkan keanekaragaman hayati. (4) Berjuta-juta spesies flora dan fauna musnah sudah. (5) Pembukaan lahan dengan cara membakar hutan telah menambah masalah kerusakan hutan.;"A. (1)
B. (2)
C. (3)
D. (4)
E. (5)";A;C3;MOTS
"Pisang adalah tumbuhan yang biasa tumbuh di sekitar rumah. Pisang biasa diambil buahnya hanya untuk dimakan. Buah pisang sangat baik untuk kesehatan karena mengandung vitamin (A, B, B6, C) mineral ( kalium, fosfor, magnesium, kalsium dan besi) serta karbohidrat.

Selain buah, seluruh bagian dari tanaman pisang dari daun, bonggol, jantung, hati, bahkan hingga kulit pisang mempunyai manfaat untuk kesehatan. Daun pisang dapat digunakan masyarakat sebagai alat membungkus makanan atau bahkan tempe. Hal tersebut tentu bukan tanpa alasan, selain juga bermanfaat untuk kesehatan. Daun pisang mempunyai zat polifenol yang dapat digunakan sebagai antioksidan.

Pisang mempunyai banyak manfaat untuk kesehatan manusia. Baik dengan mengkonsumsi secara langsung, maupun dengan proses pengolahan terlebih dahulu. Seharusnya ketika memanen buah pisang, bagian pisang lainnya juga dimanfaatkan untuk dapat dikonsumsi. Dengan mengetahui beragam manfaat dan cara pengolahan buah ini, masyarakat bisa memanfaatkannya baik untuk pribadi atau menjadikan sebagai lahan usaha.";Teks di atas digolongkan dalam teks eksposisi karena �;"A. Di dalamnya terdapat kalimat opini
B. Di dalamnya terdapat fakta dan opini
C. Mengandung istilah-istilah khusus dalam bidang tertentu
D. Dipaparkan dengan ragam bahasa formal, namun tetap mudah dimengerti
E. Berisi informasi yang dimuat secara singkat dan disertai argumen dari penulisnya";E;C4;HOTS
"Perhatikan kedua kutipan berikut ini!

Kutipan I
Ilmu alam adalah ilmu yang mempelajari tentang objek empiris di alam semesta. Mempelajari berbagai gejala dan peristiwa sesuai dengan objek telaahnya dan bermanfaat untuk kehidupan manusia. Karena objek telaahnya, sehingga ilmu alam bisa disebut sebagai pengetahuan empiris. Memiliki asumsi terkait objek telaahnya.

Kutipan II
Jika Pemerintah Indonesia memprioritaskan pertanian menjadi basis ekonomi negara, jadi telah harusnya nasib beberapa petani juga akan menjadi lebih baik. Namun, sayangnya pemerintah lebih memprioritaskan industri dan juga bidang usaha beda yang malah bukanlah menjadi akar dari kekayaan tanah air Indonesia.";Perbedaan penyajian struktur kedua teks di atas adalah �;"A. Kutipan teks I merupakan bagian argumen, sedangkan kutipan teks II merupakan bagian rekomendasi.
B. Kutipan teks I merupakan bagian tesis, sedangkan kutipan teks II merupakan bagian rekomendasi.
C. Kutipan teks I merupakan bagian tesis, sedangkan kutipan teks II merupakan bagian argumen.
D. Kutipan teks I merupakan bagian argumen, sedangkan kutipan teks II merupakan bagian tesis.
E. Kutipan teks I merupakan bagian rekomendasi, sedangkan kutipan teks II merupakan bagian tesis.";B;C4;HOTS
"Perhatikan ciri-ciri berikut!

Berupa teks berita
Menampilkan tokoh yang fenomenal
Memiliki sifat humoris
Hanya memuat humor
Menampilkan orang penting";Ciri-ciri utama teks anekdot terdapat pada nomor �;"A. (1), (3), dan (5)
B. (1), (2), dan (4)
C. (2) dan (5)
D. (3) dan (5)
E. (2) dan (4)";D;C1;LOTS
